drug_a_inn,drug_b_inn,severity,mechanism,recommendation,source
тирзепатид,инсулин,major,Аддитивный гипогликемический эффект GLP-1+GIP агониста и базального инсулина,Снижение дозы инсулина на 20-30% при инициации; мониторинг глюкозы 3-4 раза в сутки первые 4 недели,FDA label Mounjaro (tirzepatide) §7.1
тирзепатид,сульфонилмочевина,major,"Аддитивная гипогликемия (глибенкламид, гликлазид, глимепирид)",Снижение дозы сульфонилмочевины на 50% или прекращение; ежедневный самоконтроль глюкозы,FDA label Mounjaro §7.1
тирзепатид,варфарин,moderate,Возможная задержка опорожнения желудка может изменить абсорбцию,Контроль МНО при инициации и каждом изменении дозы тирзепатида,FDA label Mounjaro §7.4
тирзепатид,пероральные контрацептивы,major,Задержка опорожнения желудка снижает абсорбцию оральных гормональных контрацептивов; эффективность снижена на 4 недели после начала и после повышения дозы,Дополнительный негормональный метод контрацепции или переход на не-оральный (трансдермальный/ВМС) на 4 недели,FDA label Mounjaro §7.3
семаглутид,инсулин,major,Аддитивный гипогликемический эффект,Снижение дозы инсулина при инициации; самоконтроль глюкозы,FDA label Ozempic/Wegovy §7.1
семаглутид,сульфонилмочевина,major,Аддитивная гипогликемия,Снижение дозы сульфонилмочевины или прекращение,FDA label Ozempic §7.1
семаглутид,варфарин,moderate,Замедление опорожнения желудка,Мониторинг МНО при инициации,FDA label Ozempic §7.4
семаглутид перорально,пища,major,Абсорбция перорального семаглутида снижается на >50% при приёме с едой; режим — натощак минимум 30 мин до еды,Принимать утром натощак с глотком воды (≤120 мл); 30 минут до первой еды/питья/других препаратов,FDA label Rybelsus §2.1
семаглутид перорально,левотироксин,moderate,Семаглутид перорально содержит SNAC (абсорбент) — может увеличить абсорбцию левотироксина,Мониторинг ТТГ; коррекция дозы левотироксина,FDA label Rybelsus §7.2
апалутамид,варфарин,major,Сильный индуктор CYP2C9 → снижение концентрации варфарина и эффективности,Альтернативный антикоагулянт (например DOAC) или удвоение дозы варфарина с частым МНО,FDA label Erleada §7.2
апалутамид,противоэпилептические (карбамазепин/фенитоин),major,Двунаправленная индукция CYP3A4 — снижение концентрации апалутамида и противоэпилептика,Избегать совместного применения; альтернативный противоэпилептик (леветирацетам/вальпроат),FDA label Erleada §7.1
апалутамид,статины (симвастатин/аторвастатин),moderate,Снижение концентрации статина из-за индукции CYP3A4,Переход на правастатин/розувастатин (минимально CYP3A4-зависимы),FDA label Erleada §7.3
апалутамид,амиодарон,major,Снижение концентрации амиодарона,Мониторинг ритма; альтернативный антиаритмик (соталол),FDA label Erleada §7.3
леналидомид,варфарин,major,Повышенный риск кровотечения при комбинации,Тщательный мониторинг МНО; рассмотреть DOAC,FDA label Revlimid §7.1
леналидомид,дексаметазон,major,Стандартная комбинация для миеломы (Rd-protocol) — повышенный риск тромбоэмболии,Профилактика венозного тромбоза (аспирин/НМГ/DOAC) по риск-стратификации IMWG,IMWG VTE prophylaxis guidelines 2014
леналидомид,дигоксин,moderate,Повышение концентрации дигоксина на 14% (механизм неясен),Мониторинг сывороточной концентрации дигоксина,FDA label Revlimid §7.3
метформин,контраст йодсодержащий,major,Риск лактоацидоза из-за нефротоксичности контраста на фоне метформина,Прекращение метформина за 48ч до и на 48ч после введения контраста при eGFR<60; контроль креатинина,KDIGO 2024 / Российские клинические рекомендации
метформин,алкоголь,moderate,Аддитивное накопление лактата,Избегать злоупотребления алкоголем; полный отказ при остром приёме,FDA label Glucophage
анастрозол,тамоксифен,major,Антагонизм: тамоксифен снижает концентрацию анастрозола на 27%,Не комбинировать; последовательное применение через 4 недели washout,Clinical pharmacology Arimidex §7
анастрозол,эстрогены,major,Эстрогены отменяют действие ингибиторов ароматазы,Противопоказана любая эстроген-содержащая терапия (включая ОК),FDA label Arimidex §7.1
тамоксифен,антидепрессанты СИОЗС (пароксетин/флуоксетин),major,Сильное ингибирование CYP2D6 → отсутствие активного метаболита эндоксифена → снижение эффективности тамоксифена,Венлафаксин или эсциталопрам (слабые CYP2D6 ингибиторы),Stearns et al. JCO 2003
варфарин,НПВС (ибупрофен/диклофенак/напроксен),major,Антиагрегантное действие НПВС + варфарин = риск кровотечения 2-4x,Альтернатива: парацетамол; при необходимости НПВС — гастропротекция + строгий мониторинг МНО,Holbrook et al. Arch Intern Med 2005
левотироксин,препараты железа,moderate,Хелатообразование снижает абсорбцию левотироксина на 30-60%,Интервал >4 часов между приёмами,FDA label Synthroid §7.4
аторвастатин,кларитромицин,major,Сильное ингибирование CYP3A4 → 4-5x повышение концентрации аторвастатина → миопатия/рабдомиолиз,Временная отмена статина на курс антибиотика; альтернатива — азитромицин,FDA label Lipitor §7
амоксициллин,варфарин,moderate,Антибиотики нарушают синтез витамина K кишечной флорой → потенциация варфарина,Мониторинг МНО каждые 3-4 дня в течение курса антибиотика,Holbrook et al. Arch Intern Med 2005
